tipo,descripcion,monto,fecha
gasto,Mercado Éxito semana 1,185000,01/04/2026
gasto,Gasolina vehículo,120000,03/04/2026
gasto,Almuerzo restaurante,28500,04/04/2026
gasto,Domicilio rappi,35000,05/04/2026
gasto,Medicamentos farmacia,67000,07/04/2026
gasto,Mercado Éxito semana 2,210000,08/04/2026
gasto,Recarga transporte,50000,10/04/2026
gasto,Cine y entretenimiento,45000,12/04/2026
gasto,Gasolina vehículo,115000,14/04/2026
gasto,Ropa y calzado,230000,15/04/2026
gasto,Mercado Éxito semana 3,195000,15/04/2026
gasto,Papelería y útiles,42000,17/04/2026
gasto,Domicilio pizza,28000,18/04/2026
gasto,Peluquería,35000,19/04/2026
gasto,Mercado Éxito semana 4,175000,22/04/2026
gasto,Gasolina vehículo,125000,23/04/2026
gasto,Café y meriendas,18000,24/04/2026
gasto,Mantenimiento vehículo,180000,25/04/2026
